,word_count
Cold Blood (LP Version)_Kix_1989,170
Cold Shot_Stevie Ray Vaughan And Double Trouble_1985,122
Cold Stares Of Dead Eyes_ The_Soul Embraced_2002,50
Cold Youth_Cut Copy_2008,142
Cold_ Cold Heart_Charlie Rich_1967,121
Collecting Dust_Life Long Tragedy_2008,172
Collides With Beauty_ATB_2004,114
Collide_Howie Day_2003,140
Colombine_Georges Brassens_1956,66
Colonel Brown (1999 Digital Remaster)_Tomorrow_1995,114
Colorblind_Hotwire_0,93
Colour My XTC_Jeff Scott Soto_1994,142
Columbia_Oasis_1995,162
Coma_Aesop Rock_2001,526
Come ALong_Johnny Osbourne_1998,275
Come Around (Acoustic)_Sister Hazel_2008,176
Come Around (LP Version)_Sister Hazel_2003,176
Come Emmanuel (House Of Worship Album Version)_Twila Paris_2003,64
Come Home With Me_Cam'Ron  Juelz Santana  Jimmy Jones_2002,669
Come Live With Me (12'' Extended Version) (2006 Digital Remaster)_Heaven 17_1983,209
Come Monday_Barry Manilow_2001,186
Come Next Monday_KT Oslin_1993,225
Come On (Pt III)_Stevie Ray Vaughan And Double Trouble_1999,36
Come On (Sessions@AOL Version)_Ben Jelen_2004,176
Come On Back Home_Cece Winans_1998,200
Come On In_Washboard Sam_1997,194
Come See_Major Lance_1963,121
Come To Find Out_John Hammond_2005,151
Come To Me Tonight_Daniel Johnston_1998,105
Come With Me_Tania Maria_1983,35
Comeback_Eric Burdon_1988,123
Comfort Zone_Everyday Sunday_2004,66
Comfortable_John Mayer_2003,165
Comin' Tonight_Martha Wainwright_2008,144
Coming Undone (Sleazy Days Rock Electro Remix) (Acid Planet Remix -- France)_Korn_2005,188
Coming Undone_Tantric_2009,285
Comme hier_Georges Brassens_1953,142
Comme Si C'Ã©tait Doux_Julien Clerc_2018,240
Comme Toi (Live)_Jean-Jacques Goldman_1991,179
Commercial Reign_Inspiral Carpets_1990,86
Como Boomerang_Juan Carlos Baglietto_1986,83
Como La Flor (2005 Re-mastering) (Live)_Selena_1992,91
Como Nadie Te He Querido_Isabel Pantoja_1990,121
Como Nuestro Amor No Hay Dos_Cabas_2008,276
Complain_Ayo_2006,322
Completeness_Minnie Riperton_1970,62
Compromise_The Berzerker_2002,149
Compulsory Resurrection_Abysmal Dawn_2008,117
Computer Love (2009 Digital Remaster)_Kraftwerk_1991,78
Con un poquitito de suerte_Leo Dan_0,58
Concede_Sister Hazel_1997,174
Conquer Me_Delroy Wilson_2009,93
Conqueror Worm_Tsar_2005,237
Conscience (Album Version)_James Darren_1994,133
Consume (LP Version)_Sick Of It All_1994,123
Container_Kaizers Orchestra_2003,69
Contrary Mary  (LP Version)_Kix_1981,230
Control It (Album Version)_Static-X_2003,203
Controlando El Area_Daddy Yankee  Bounty Killer_2008,178
Cool Kid_Broadcast_1984,580
Cool Water_Roger Williams_1959,8220
Cooler Than You_Diesel Boy_1998,138
Cooling Out_Cocoa Tea_1992,490
Coolsville (Live Acoustic Version)_Rickie Lee Jones_1983,145
Coppershot_Bounty Killer_2001,524
Coral Fang (Album Version)_The Distillers_2003,133
CorazÃ³n Contento_Palito Ortega_2004,142
Corner Stone_Bob Marley_1996,201
Corner Story_Del The Funky Homosapien_1998,335
Cosmonaut_Wolfmother_2009,114
Could This Be Love_Leroy Hutson_1974,184
Couldn't Stand The Weather_Stevie Ray Vaughan And Double Trouble_1985,102
Country Day_The Tragically Hip_2009,216
Country Girl_Dottie West_1968,147
Coup De Lune (RemasterisÃ© En 2007)_Jacques Higelin_1986,255
Courtyard_Bobbie Gentry_1968,61
Coven In Charing Cross_Coven_1969,197
Cover To Cover_Wes King_1969,225
Covered (The Beauty Of Simplicity Album Version)_Telecast_2003,84
Coward_Hoods_2005,64
Coyotes (Album Version)_Jason Mraz_2008,311
Crackbabies_Urge Overkill_1993,137
Crash And Burn [Home Demo]_Funeral For A Friend_2007,126
Crash Course_UK Subs_1979,68
Crass Commercialism_Black Flag_1982,1708
Crawl Before You Ball (Album Version)_Saafir_1999,475
Crawling (Album Version)_Linkin Park_2000,197
Crawlspace_Beastie Boys_2004,349
Crayon Sharpener_themselves_2003,499
Crazy Circles_Bad Company_1979,144
Crazy_Aerosmith_1993,267
Crazy_Aynsley Lister_2009,150
Creeper Kamikaze_The Exies_2003,102
Crimson And Clover_Tommy James and The Shondells_1969,84
Crimson Wave_Amorphis_2001,164
Criteria_Shaggy_2007,455
Cross The Bridge_Beenie Man_1993,537
Crossfire_Stevie Ray Vaughan_1992,93
Crow Killer_Unearth_2008,100
Crushing Belial_Shadows Fall_2000,225
Crustaceans As Castanets_Pagan Wanderer Lu_2010,117
Cruz_Christina Aguilera_2002,189
Cry Like An Angel_Shawn Colvin_1989,271
Cry Of My Heart_Wayne Watson_2003,149
Cryin'_Aerosmith_1993,286
Crying Time_Commander Cody And His Lost Planet Airmen_1974,153
Cry_Kelly Clarkson_2009,143
Cuando Calienta El Sol_Pablo Montero_2003,48
Cuando Quieres Tu_Sonora Santanera_1973,69
Cuando Ya Me Empiece A Quedar Solo_Sui Generis_1973,100
Cuatro Estrofas_Sandra Mihanovich_1994,67
Cumha Eoghain Rua Ui Neill (Lament For Owen Roe)_Clannad_2008,1
Cum_Eric Burdon_2008,194
Curiosity_The Jets_1998,144
Cursed Angel Of Doom (Previously Unreleased&Re-Recorded Track)_Behemoth_1999,7
Cut Here_The Cure_2001,257
Cutdown_Bongzilla_2005,87
Cuttin' the Tree_John Wesley_1999,168
Cycle Time_Liars_2007,35
Da Funk_Daft Punk_1995,1
Da Shit_The Game_2006,629
Dale Darrell Waltrip Richard Petty Rusty Awesome Bill Irvin Gordon Earnhardt SmithJohnson_ Jr (Live)_Tim Wilson_1997,197
Damien_DMX_1998,539
Damn That Radio [Live]_The Wreckers_2007,269
Damn those eyes_Kane_1999,116
Dance Hall Days_Wang Chung_1983,174
Dance Into The Light (LP Version)_Phil Collins_1996,289
Dancer (2007 Digital Remaster)_Babe Ruth_1975,236
Dance_ Dance_ Dance  (Album Version)_Crazy Horse_1971,93
Dance_ Dance_Fall Out Boy_2008,271
Dance_Tim Hughes_2007,66
Dancing Shoes_Arctic Monkeys_2004,178
Dancing The Night Away_The Motors_1977,301
Dancing With Myself (BBC In Concert 010181)_Generation X_1997,237
Danger She's A Stranger_The Five Stairsteps_2005,105
Dangerous Mood_Keb' Mo'_1996,171
Danny Boy_Hank Locklin_1966,61
Danny's All-Star Joint (LP Version)_Rickie Lee Jones_1979,361
Danote_Darko_2008,175
Dans Ces Villes_Julie Zenatti_2004,98
Dans le calme de la nuit_Kali_2004,234
Darby's Castle_Kris Kristofferson_1970,215
Dark Horse_Converge_2009,129
Darling_ I Want To Destroy You_AFI_2009,156
Das ist mein Viertel_Eko Fresh feat Capkekz_2006,400
Das Telefon sagt Du_Andreas Dorau_1994,95
Dave D Blues (how To Make It Sting Like A Career) (Album Version)_Mayday_2005,555
Day Old Blues_Kings Of Leon_2004,124
Daydreaming the Color of Blood_Soilent Green_2001,186
De Do Do Do_ De Da Da Da_The Police_2003,124
De Mi Enamorate_Dyango_2008,170
De Onda_Bersuit Vergarabat_1998,102
De rien_Les Ogres De Barback_1999,165
Dead End Street_Foghat_1980,215
Dead Wrong_Cancer Bats_2010,150
Dear Death Part 2_Emery_2009,249
Death Blow_Kool Moe Dee_1991,775
Death Don't Have No Mercy_Hot Tuna_1970,162
Death Of A Nation_Anti-Flag_2003,126
Death Of Neira_Nightfall_2003,41
Death Or Glory_The Clash_1979,248
Death Or Jail_Sick Of It All_2010,196
Decidete_Marisela_1998,115
Decimas_Carlos Vives_2001,206
Decir Adios_Carlos Ponce_1999,128
Declaration (This Is It)_Kirk Franklin_2007,489
Dedicado_Miguel Gallardo_1987,98
Dedicated To The One I Love_The Shirelles_1960,105
Dedicated_Paul Carrack_1989,144
Deep Blue Sea (Daniel Rossen home recording)_Grizzly Bear_2008,75
Deep Sea Creature_Mastodon_2001,104
Defend You (Album Version)_Silverstein_2005,189
Deform (live)_The Berzerker_2000,138
Delilah_The Sensational Alex Harvey Band_1975,152
Deliverance_Sick Puppies_2006,110
Dem a Talk_Kiprich_2003,388
Den Me Agapas_Anna Vissi_2007,104
DendemÃ¤nner braucht das Land_Dendemann_2006,511
Denk_Samy Deluxe_2004,709
Depressionista_Every Time I Die_2007,211
Descontrol_Daddy Yankee_2010,278
Desde el este_Facto Delafe y las flores azules_2007,65
Desire_Rockabye Baby!_2007,224
Desperados_The Game_2005,563
Desperate Man Blues_Daniel Johnston_1983,137
Destination Eschaton (Hardfloor Vocal Mix)_Shamen_2002,256
Destined To Win_DeGarmo and Key_1988,184
Destiny_Buju Banton_1997,286
Destroy 2000 Years Of Culture_Atari Teenage Riot_1997,249
Destroy Babylon_Bad Brains_1983,57
Destroy Everything (Album Version)_Hatebreed_2006,210
Deviate From The Form_Scar Symmetry_2006,178
Diamond Eyes (Album Version)_Deftones_2010,112
Diamonds From Sierra Leone_Kanye West_2005,598
Dicen Por Ahi_Enrique Iglesias_1998,172
Did It Again (featuring Kid Cudi)_Shakira_2009,285
Did We Not Choose Each Other_Sophie B Hawkins_1994,231
Did Ya Say That_GZAThe Genius_2002,530
Did You Get My Message  (Live From Shubas)_Jason Mraz_2007,400
Did You See Jackie Robinson Hit That Ball_Buddy Johnson_2005,114
Didn't Know Yet What I'd Know When I Was Bleedin'_Dax Riggs_2007,92
Die Meisten_Samy Deluxe_2001,571
Die Slow_Sheek Louch_2009,608
Die Zeit_Oesch's die Dritten_2008,150
Dig Up Her Bones_The Misfits_1997,140
Dimension_Wolfmother_2004,129
Dinner Party Pool Music_Angelo Badalamenti_2001,1
Dinosaur Bones_Showbread_2006,259
Dipset (Santana's Town) (Skit)_Juelz Santana  Freekey Zeekey  Monique Garnett_2003,223
Directions to my special place_themselves_2003,381
Dirty Diana_Michael Jackson_1987,283
Dirty Harry (Single Edit)_Gorillaz_2005,247
Disappeared_John Wesley_ John Wesley_2001,253
Disco Jonki_Dusminguet_1998,77
Disco Medley (Live At Houston Astrodome)_Selena_2015,172
Disco Trafiko_Trafik_2004,304
Disconnected_Cowboy Mouth_2016,283
Disease_Dokken_2008,107
Dissidents (The Search For Truth Part 1) (2009 Digital Remaster)_Thomas Dolby_1998,108
Distancia_Alberto Cortez_1989,119
DJ's & MC's_Rodney O_ Joe Cooley_1988,318
Do It All Over Again_Sweet_2002,193
Do It To Me_Sasha_2003,117
Do It_ Fluid_Blackbyrds_1995,133
Do It_DJ Nasty_1981,838
Do Somethin' Crazy_Mighty Mighty Bosstones_1989,187
Do That There (Album Instrumental)_Lyrics Born_2003,336
Do Ya Thing (Remix) (Explicit Album Version)_Cam'Ron_2006,271
Do You Know (The Ping Pong Song)_Enrique Iglesias_2007,415
Do You See The Light (Deep Ethno Mix)_SNAP!_1996,215
Do You Want To_Franz Ferdinand_2005,181
Does It Float_Dinosaur Jr_1985,152
Doesn't Get Much Better_Kyle Riabko_2005,96
Doin' It_Professor Longhair_1985,336
Doing Time (Album Version)_Bad Religion_1982,113
Dolorosa (Live)_Cali_2006,153
Dolor_Los Traileros Del Norte_0,100
Domino_Kiss_1992,162
Don't Break My Heart_Suzi Quatro_1996,96
Don't Bring Flowers_Erik Hassle_2009,203
Don't Call Me Andy_Andrew WK_2006,103
Don't Crush It_Kool Keith_1997,488
Don't Cry_ Joe_Gordon Jenkins_1989,133
Don't Do That_Pinchers_1993,325
Don't Ever (Album Version)_Missy Higgins_2005,109
Don't Get Around Much Anymore_Natalie Cole_1991,65
Don't Go Away_Oasis_1998,236
Don't Go Knockin' On My Door_Britney Spears_2000,341
Don't It (make Your Troubles Seem Small) (Album Version)_Soul Asylum_1986,106
Don't Know How To Be_God Lives Underwater_1995,74
Don't Leave_Everyday Sunday_2002,95
Don't let go_Pacha Massive_2006,185
Don't Let Go_Weezer_2001,136
Don't Let Her Pull You Down_New Found Glory_2009,209
Don't Let Me Come Home A Stranger (LP Version)_Fernando Ortega_1997,72
Don't Let My Teardrops Bother You (Album Version)_Dionne Warwick_1994,171
Don't Let Your Heart Be Hardened (This Means War Album Version)_Petra_1987,118
Don't Lie_Dead To Me_2006,131
Don't Look Back (Radio Edit)_Antigone Rising_2005,226
Don't Make Me Wait For Love_Kenny G_1986,182
Don't Matter_Akon_2006,369
Don't Mess With Cupid (1972 demo)_New York Dolls_1994,138
Don't Mess With Me (2006 Digital Remaster)_Whitesnake_1978,88
Don't Panic_Coldplay_1999,79
Don't Stop The Music_Rihanna_2007,530
Don't Stop_Jars Of Clay_2009,167
Don't Take Your Love Away From Me (Album Version)_Randy Travis_1996,184
Don't Take Your Spirit Away_Deitrick Haddon_2008,239
Don't Tell Me_T-Bone_1990,127
Don't Treat Me Bad_Firehouse_1990,225
Don't Upset The Rhythm (Go Baby Go)_Noisettes_2009,226
Don't Wanna Be Here (Album Version)_Cool For August_1997,136
Don't Want To Know (1999 Digital Remaster)_Bryan Ferry_1994,118
Don't Want To_Lil' Romeo_2001,532
Don't Waste My Time_John Mayall_1970,98
Don't Worry About It (Edited)_NERD_2004,287
Don't Worry Baby (1999 Digital Remaster)_Bryan Ferry_1973,137
Don't Worry Now (Performance Track In Key Of Db Without Background Vocals)_Britt Nicole_2007,258
Don't You Know How Much I Love You_Ronnie Milsap_1983,165
Don't You Wish It Was True_John Fogerty_2007,202
Donde Estas Corazon_Shakira_1997,189
Donnez-nous des jardins_Pierre Perret_1975,299
Doomed To Walk The Earth_Swallow The Sun_2007,110
Dope Nose_Weezer_2002,141
Doubt_The Cure_1981,196
Down (LP Version)_Stone Temple Pilots_2003,78
Down And Out In Paradise_John Mellencamp_1987,249
Down At The Old Corral (Album Version)_Randy Travis_1993,123
Down In The Hole_James Taylor_1991,275
Down In The Jungle_Monster Magnet_2000,285
Down in the Lowlands_Charlie Peacock_1986,260
Down On Him_Pursuit Of Happiness_1988,128
Down On Me_Janis Joplin_1972,94
Down On My Knees_Ayo_2006,238
Down On The Corner_La Portuaria_2005,194
Down On The Farm (2006 Remastered Edit Version)_Little Feat_2006,207
Down On The Street (False Start Take 2)_The Stooges_2016,96
Down the Line_Gregory Isaacs_1979,269
Downtown (Album Version)_Crazy Horse_1971,193
Dr Bernice_Cracker_1992,273
Dragonfly_Diesel Boy_1998,154
Drama  (LP Version)_Liquid Gang_2000,120
Dream Baby Dream_Black Tambourine_2010,51
Dream Lover_Plasmatics_1980,117
Dream On (LP Version)_Blackfoot_1980,198
Dreaming Of April_Out Of The Grey_1995,130
Dreidel_ Dreidel_ Dreidel_ Dreidel_Schoolyard Heroes_2008,68
Drifting Away_Faithless_1996,49
Drive_The Cars_1984,111
Driving Home For Christmas_Chris Rea_1986,175
Drones_Rise Against_2006,199
Drop The Hammer_The Gone Jackals_1995,130
Drown In My Own Tears (LP Version)_Bobby Darin_1987,105
Drowning In Public Approval_Malefaction_2001,38
Drugs_At All Cost_2007,172
Drum Machine Joy_MxPx_1995,114
Drumroll (We're All Thirsty)_POS_2009,288
Duck And Run_3 Doors Down_1999,209
Ducktails - Moon_The Advantage_2006,1
Dumb It Down (Live From Chicago)_Lupe Fiasco feat GemStones and Graham Burris_2007,0
Dump_Mobb Deep featuring Nate Dogg_2004,412
Dungeon Master_EPMD  Nocturnal_1997,362
Dutty Wine_Tony Matterhorn_2006,457
Dying Batteries_Casiotone For The Painfully Alone_2001,42
Dying to Know (Album Version)_Pennywise_2004,162
Dying To Stay_Alias_2002,463
Dying Under A Binary Star_Crematorium_2005,175
E Samba (Accapella)_Junior Jack_2003,40
Each Time (I Love You More)_Jackie Wilson_1959,67
Early In The Morning_BB King_2002,188
Ease_Public Image Ltd_1985,92
Easily_Vivian_2009,97
Easy Life (Live)_Cockney Rejects_1997,89
Easy or Not (Album Version)_To My Surprise_2003,183
Easy To Lose Hope_Eleanor McEvoy_1996,153
Echo_Joe Satriani_1987,1
Edge Of The Dream (Emergency Broadcast Album Version)_White Heart_1992,138
Ego Trip by Nikki Giovanni_Blackalicious_1999,209
Eight (Album Version)_Onesidezero_2001,120
El Amor (Version Nortena)_Yahir_2007,164
El Chico Del Apartamento 512_Selena_1994,248
El Mensaje Soy Yo_Los Fabulosos Cadillacs_1989,193
El Momento_Jaguares_2001,81
El Perro_Juana Molina_2003,117
El Te Daba Mala Vida_Los Chichos_1982,166
Elbow Macaroni (Skit)_Tech N9ne_2008,227
Eleanor Put Your Boots On_Franz Ferdinand_2005,134
Eleanor_Low Millions_2004,128
Electrasonic V_Los Fabulosos Cadillacs_1990,121
Elektro Kardiogramm (Live)_Kraftwerk_2004,38
Ella Weez_Leroy Hutson_1974,280
Elle Et Moi_Koffi Olomide_1989,292
Elle Voulait Jouer Cabaret_Patricia Kaas_1988,137
Ellen Disingenuous_Busdriver_2008,429
Embraceable You (LP Version from 'When The Boys Meet The Girls')_Connie Francis_1965,107
Emergency (Album Version)_Paramore_2007,220
Emit Remmus (Album Version)_Red Hot Chili Peppers_1999,214
Empire Falls_Primordial_2007,151
Empty Arms_Stevie Ray Vaughan And Double Trouble_1996,170
Empty_Information Society_1997,339
En La Tierra Caliente_Tam Tam Go!_1993,152
Encore_Roni Size_2008,111
Encouraged_John P Kee_1994,100
End Of The Age_Becoming The Archetype_2008,85
Enero en la playa (Edit)_Facto Delafe y las flores azules_2005,235
EnervÃ©_Olivia Ruiz_2004,135
Engine Skull_Cancer Bats_2009,187
English Dream (2002 Digital Remaster)_Generation X_1991,174
English House_Fleet Foxes_2008,103
English Summer Rain_Placebo_2003,213
Entonces_Fran Perea_2005,61
Eoarchaean_The Ocean_2007,170
Epiphany_Bad Religion_2002,179
Erased_Annie Lennox_2003,128
Eriatarka_The Mars Volta_2003,238
Erick Sermon_Erick Sermon_1993,422
Eruption (Remastered Album Version)_Van Halen_1996,1
Es dificil_De La Ghetto_2008,222
Escape ( LP Version)_Prince_1993,211
Escape From The City_John Williams_2005,1
Escapist_Nightwish_2007,199
Escuchame_Carlos Ponce_2003,109
Escuta_ Noel_Maysa_2003,56
Essaywhuman_The Roots_1999,196
Estar Junto A Ti (Angel)_Yuridia_2006,123
Estas hecha para mi (Directo 09)_Carlos Baute_2006,108
Estas Listo_Juan Carlos Baglietto_1984,135
Estimate_Slum Village_1997,244
Esto Es Real_Baby Rasta and Gringo_2004,422
Estoy AquÃ­_Shakira_1995,238
Estoy Contigo_Selena_1993,53
Eternamente Amame_Miguel Gallardo_1984,114
Etre Le Premier_Jean-Jacques Goldman_1983,143
Etre Une Femme_Nolwenn Leroy_2003,115
Ett NorrskensdÃ¥d_Finntroll_2010,144
Eugene's Lament_Beastie Boys_1994,1
Evalia_Placebo_2003,67
Even If I Tried_Emilio_1995,102
Evenfall_Dark Fortress_2010,142
Evening Prayer_Don Gibson_1959,58
Evening_Vanessa Daou_1996,110
Ever Be_Korn_2007,266
Everchanging_Rise Against_2001,283
Evergreen_Rubyhorse_2002,105
Every Breath I Take_Gene Pitney_1986,138
Every Other Way_BT feat JES_2010,130
Every Time I Look At You_Kiss_1992,171
Every You Every Me (Infected By The Scourge Of The Earth)_Placebo_1999,188
Everybody Loves Me But You_Brenda Lee_1995,105
Everybody Loves You_Helmet_2004,101
Everybody's Blues_Furry Lewis_1927,134
Everybody's Gonna Be Happy_Queens Of The Stone Age_2002,179
Everybody's Someone (Gateway Mix)_Leann Rimes and Brian McFadden_2006,216
Everybody_Goose_2006,34
Everyday I Have The Blues_Lightnin' Hopkins_1999,187
Everyday_Bebe Winans  Stephanie Mills_2000,300
Everyday_James Taylor_2015,151
Everyday_Phil Collins_1993,228
Everyday_Rikk Agnew_1982,127
Everyone (LP Version)_Socialburn_2003,165
Everyone's At It_Lily Allen_2009,290
Everything Ends (Live version) (Album Version)_Slipknot_2005,395
Everything Good (Everything Good Version)_Gaither Vocal Band_2002,196
Everything I Do_Knack_1998,89
Everything In Its Right Place_Radiohead_2000,90
Everything Man (Album Version)_Talib Kweli_2007,417
Everything You Touch Is a Song_The Winans_1984,219
Everytime It Rains_Peter Gallagher_2005,112
Everytime_Britney Spears_2003,148
Everywhere (Dream Album Version)_Michelle Tumes_2001,283
Evil Woman_Spooky Tooth_1969,297
Ex Nihilo_Becoming The Archetype_2005,43
Ex's And Oh's (Instrumental Version)_Atreyu_2006,221
Exactamente Medianoche_Memphis La Blusera_1993,55
Exaltation_Matisyahu_2004,259
Execution_First Blood_2005,235
Exiliado En El Lavabo_Estopa_1999,126
Exodus_Quincy Jones_1988,1
Expire_Antimatter_2003,68
Explode_The Cardigans_1998,112
Explorador_La Portuaria_2005,43
Expolodera (som dynamit)_Caramell_1999,252
Eyes Of A Stranger (Album Version)_POD_2008,132
EZ Cuz You're Beautiful (Album Version)_Shifty_2004,366
Face Drop_Sean Kingston_2009,383
Face the Ashes_Gob_2007,92
Facedown_Matt Redman_2003,270
Fading Lady Light_Jefferson Starship_1979,136
Fair Enough (LP Version)_Beth Nielsen Chapman_1997,144
Fairground (+ Sample)_Simply Red_1995,226
Fake Plastic Trees (Acoustic Version)_Radiohead_2009,130
Fake Tales Of San Francisco_Arctic Monkeys_2004,264
Falling Bombs_BigElf_2003,141
Falling Down [Live Acoustic]_Muse_1999,137
Falling In Love_Uriah Heep_1978,103
Family Galaxy_Tim Exile_2009,167
Family Tree_Naughty By Nature_2002,498
Famous Girl_Chris Brown_2009,393
Famous One_Seventh Day Slumber_2009,100
Fantasie (Extended Version)_Paso Doble_1997,114
Far Beyond The Endless_Moist_2010,133
Fast-Track_Radiohead_2001,24
Fathom Five_Mira_1995,48
Fear The Sea_The Gathering_2002,51
Fearless [Interlude] (Explicit Album Version)_Bone Thugs-N-Harmony_2010,50
Feel It Boy (Deep Dish Danchall Remix) (Feat Janet Jackson)_Beenie Man Featuring Janet Jackson_2002,447
Feel So Stupid (Table 9)_Darwin's Waiting Room_2001,136
Feelin You_DJ Spinn_2008,2
Feeling Blue_Eric Burdon_2006,95
Feelings Gone (feat Sam Sparro) (Joachim Garraud Remix)_Basement Jaxx_2009,143
Felicidade_Moraes Moreira_1996,78
Femme du guerrier_Les Ogres De Barback_1997,232
Fertile Crescent (bonus track)_Bad Religion_1992,175
FEZ-Being Born_U2_2009,48
Fighters (feat Matthew Santos) (Amended Album Version)_Lupe Fiasco feat Matthew Santos_0,355
Filipino Baby_Hank Locklin_1967,173
Final Straw (Album Version)_REM_2004,207
Finally (Album Version)_TG Sheppard_1983,135
Find Another Way_Captain Hollywood Project_1995,257
Find My Way (Album Version)_POD_2003,119
Fingerprints_Minipop_2007,37
Finisterre (Live)_Mau Mau_1998,32
Fire (Oscar G Space Vocal Mix)_Dolce; Oscar G_0,215
Fire and Ice_Outerspace_2004,460
Firepower (The Tables Have to Turn) (Explicit) (Feat Capleton)_Dilated Peoples Featuring Capleton_2006,394
Firestarter_The Prodigy_1996,84
Fire_Jimi Hendrix_1969,189
Fire_Steve Vai_2001,300
First Blood_Jerry Goldsmith_1985,112
First Day (Album version)_Timo Maas_2005,243
Five Long Years_Freddie King_1971,321
Fix The Cracks_Humanzi_2006,183
Fixin' To Die Blues_Bukka White_1940,136
Flame On_Big Daddy Kane_2001,553
Flaming Red_Patty Griffin_1998,151
Flamme & co_Les Ogres De Barback_2004,269
Flashflood_Aesop Rock_2001,427
Flat Earth Society (Album Version)_Bad Religion_1995,155
Flesh And Blood_Mary Black_1993,147
Floating_Blue Rodeo_1987,164
Flute Loop (2009 Digital Remaster)_Beastie Boys_1994,211
Flute_Les Ogres De Barback_2001,322
Fly Again (The Scumfrog Radio Edit)_Kristine W_2003,222
Fly Away From Here (Graduation Day) (Album Version)_Dropline_2002,213
Fly Talkin'_Lil Wayne_2002,80
Foam Born (A) The Backtrack (Album Version)_Between The Buried And Me_2007,58
Foggy Mountain Top_Skeeter Davis_1963,110
Follow Me Up To Carlow_Planxty_1973,220
Follow The Light (Radio Edit)_Sub Focus_2009,45
Follow The Light_Dungeon Family_2001,288
Follow You Home (Album Version)_Nickelback_2005,327
Follow Your Dreams (The Plan Album Version)_Raze_2000,344
Fool For Your Loving_Whitesnake_1980,226
Foolish Little Girl_The Shirelles_1963,180
Fools Like You_Blue Rodeo_1992,117
For All We Know_Ann Hampton Callaway_2005,69
For My People_EPMD_1990,314
For The Singer Of REM_fIREHOSE_1987,137
For Tomorrow (live)_Shaman_2002,227
For You_Mr Lif_2006,683
Forbidden Fruit_Pursuit Of Happiness_1990,72
Forever Consumed Oblivion_Goatwhore_2006,198
Forever You Reign (Album)_Nicole C Mullen_2008,108
Forever_Chris Brown_2008,373
Forever_Malefaction_2001,56
Forever_Orbital_1994,2
Forever_VHS Or Beta_2004,6
Forgive Me (High Key-Premiere Performance Plus)_Steve Green_2014,100
Forgiveness_Goldfinger_2000,269
Fortress_Tim Exile_2009,229
Fortunate Fool_Jack Johnson_2000,136
Fortune Teller_The Rolling Stones_1963,129
Four_Midge Ure_2018,206
Fractured Quantum_Ace Frehley_2009,1
Framed_The Sensational Alex Harvey Band_1972,187
Freak Out_Erick Sermon_1995,445
Freaks (Album Version)_Soul Asylum_1986,175
Freaxxx_brokeNCYDE_2008,351
Free (Album Version)_Dark new Day_2005,170
Free (Album Version)_The Winans_2007,200
Free (lp)_Big Audio Dynamite_1995,147
Freedom (LP Version)_Wayne Watson_2004,196
Freedom_4Him_1992,161
Freedom_Jah Cure_2008,249
Freestyle Ministry (server Verbals)_KRS-One_2004,391
Freeze_Pepper_2008,158
Free_Darwin Hobbs_2013,233
Frei zu sein_In Extremo_2008,146
Freight Train_Elizabeth Cotten_1958,114
Freiwild_KIZ_2005,486
Fried Neck Bones And Some Home Fries_Santana_1993,6
Fried Neckbones And Home Fries_Santana_1990,6
Friend Or Foe_Adam Ant_1982,205
FRIENDS IN FALL RIVER  (LP Version)_Silverstein_2006,93
From a Jack To a King_Ned Miller_1963,110
From Afar (Album Version)_Van Halen_1998,163
From My Hands_Salt The Wound_2009,136
From Now Until Then_Marshall Crenshaw_2003,142
From the East_Charles Williams_1982,3778
From The Pain_Adam Richman_2005,222
From The Ritz To The Rubble_Arctic Monkeys_2004,281
Fuck You_Norther_2006,68
Fucked_Less Than Jake_1995,32
Fuckin' Wita Psycho_X-Raided_0,685
Fuel the Fire_Unearth_2001,155
Fui Mujer_Juan Carlos Baglietto_1993,87
Full Of Voices_Maximilian Hecker_2005,28
FutureNow (LP Version)_MC5_1971,141
Future_Cut Copy_2004,103
Gallows (Album Version)_Atreyu_2009,194
Galopera_Los Fabulosos_0,237
Gamble Calypso_Mau Mau_2000,98
Games That Lovers Play_James Last_1967,119
Gammer Gerten's Needle_Deep Blue Something_1995,1
Gangsta's Fairytale 2 (Explicit)_Ice Cube_2003,423
Gaya's Dream_The Gathering_2008,123
Gedroomd_Hef feat Big2 and Dio_2009,538
Geek USA (Album Version)_Between The Buried And Me_2006,175
Generation Aliens_Lizzy Borden_1986,197
Genesis_Busta Rhymes_2001,465
Genio Atrapado_Christina Aguilera_2000,237
Genius_Kings Of Leon_2003,199
Gently (Album Version)_Slipknot_2001,112
Georgia_Cartel_2015,173
Get 'em_Redman  Saukrates  Icadon_2007,494
Get A Hold_A Tribe Called Quest_1996,501
Get A Straw_Lady Saw_1997,210
Get Away_Rooney_2007,75
Get Back_F4_1988,242
Get By (Disconnection Notice Bonus Track)_Goldfinger_2005,240
Get Down_Amil_2000,340
Get It Together_Beastie Boys_1994,604
Get It While You Can_Janis Joplin_1971,162
Get Money_Mykill Miers_2006,497
Get On Our Own_Buzzcocks_1978,112
Get On Top (Album Version)_Red Hot Chili Peppers_1999,176
Get Up & Go_Chet Atkins_2007,140
Get Up (Diplo Mix)_Bingo Players_2009,202
Get Your Hustle On_Lost Boyz_1997,335
Get-U-Now_KMD_2001,334
Getaway_KRS-One_2008,329
Gettin' Better_Tesla_1986,170
